run_id,family,target,paper_section,teff_16,teff_50,teff_84,logg_16,logg_50,logg_84,logL_16,logL_50,logL_84,phi_16,phi_50,phi_84,cold_teff_50,cold_logg_50,cold_logL_50,cold_phi_50
UNCOVER_2c_neb_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_neb_ujy_photcal,Section 2.3,3981.64,3997.67,4006.73,-3.43868,-3.33253,-3.21425,10.2139,10.2209,10.2283,268.181,352.653,449.563,2024.77,-0.423803,8.97079,0.0292083
UNCOVER_2c_noupw_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_noupw_ujy,Section 2.3,4051.13,4055.79,4060.92,-3.28926,-3.21294,-3.16562,10.1674,10.1713,10.1757,254.637,284.047,339.085,3060.66,-1.66719,6.81617,2.45347
UNCOVER_2c_noupw_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_noupw_ujy_photcal,Section 2.3,3949.81,3982.83,3997.13,-3.31899,-3.22147,-3.15609,10.2534,10.262,10.2701,229.921,268.327,336.172,3073.61,-1.26251,7.6639,0.974565
UNCOVER_2c_now_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_now_ujy,Section 2.3,4055.45,4060.38,4066.41,-3.47297,-3.39246,-3.22848,10.17,10.1738,10.1782,295.771,431.795,519.414,2478.04,-1.08709,7.1722,0.237935
UNCOVER_2c_now_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_now_ujy_photcal,Section 2.3,3973,3990.76,4000.3,-3.40906,-3.27539,-3.17808,10.2559,10.2629,10.2692,244.073,306.781,418.586,3135.21,-1.48612,7.88716,1.57788
UNCOVER_2c_prismR_ujy_long,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_prismR_ujy_long,Section 2.3,4077.39,4082.47,4087.44,-3.26073,-3.20195,-3.16117,10.134,10.1378,10.1415,258.924,284.292,325.428,2006.74,-0.112851,8.92867,0.0135786
UNCOVER_2c_prismR_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_prismR_ujy_photcal,Section 2.3,3974.3,3991.1,4001.06,-3.39318,-3.27715,-3.18026,10.2079,10.217,10.2267,246.376,307.796,403.361,2046.24,-0.497168,9.01017,0.0362727
UNCOVER_2c_smc_r300_mhfree_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_smc_r300_mhfree_ujy,Section 2.3,3967.77,3982.86,3995.49,-3.29086,-3.23441,-3.17517,10.1162,10.1193,10.1237,240.163,277.244,317.788,2007.41,-0.886754,8.81382,0.0808401
UNCOVER_2c_smc_r300_mhfree_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_smc_r300_mhfree_ujy_photcal,Section 2.3,3969.13,3989.31,4001.11,-3.30864,-3.21775,-3.16195,10.2247,10.2334,10.2416,236.213,267.912,329.036,2020.01,-0.543569,8.89206,0.038251
UNCOVER_2c_smc_r300_neb_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_smc_r300_neb_ujy,Section 2.3,4077.59,4083.62,4089.96,-3.40816,-3.27766,-3.18274,10.1383,10.1427,10.1474,272.203,338.841,457.99,2007.3,-0.341384,8.85347,0.0229759
UNCOVER_2c_smc_r300_neb_ujy_long,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_smc_r300_neb_ujy_long,Section 2.3,4075.9,4081.74,4088,-3.36639,-3.25714,-3.17836,10.1412,10.1453,10.1502,269.428,322.614,415.126,2006.66,-0.438944,8.78323,0.0288005
UNCOVER_2c_smc_r300_neb_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_smc_r300_neb_ujy_photcal,Section 2.3,3977.03,3990.2,4000.74,-3.40353,-3.26451,-3.17206,10.213,10.2208,10.2274,242.611,300.051,409.818,2016.47,-1.01475,8.91243,0.112016
UNCOVER_2c_smc_r300_nomask_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_smc_r300_nomask_ujy,Section 2.3,4092.02,4099.23,4107.12,-3.2344,-3.1909,-3.15912,10.1413,10.1462,10.1529,262.201,281.723,311.86,2003.7,-0.3745,9.04461,0.0246183
UNCOVER_2c_smc_r300_nomask_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_smc_r300_nomask_ujy_photcal,Section 2.3,4015.35,4026.47,4038.15,-3.34407,-3.26442,-3.19207,10.222,10.2325,10.2433,262.112,310.506,374.133,2015.82,0.0414852,9.17055,0.00972104
UNCOVER_2c_smc_r300_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_smc_r300_ujy,Section 2.3,4059.42,4068.77,4075.65,-3.27476,-3.22115,-3.17102,10.1327,10.1457,10.1545,261.206,293.267,330.987,2011.64,-1.68248,8.71393,0.513885
UNCOVER_2c_smc_r300_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_smc_r300_ujy_photcal,Section 2.3,3965.6,3990.87,4003.33,-3.4398,-3.36804,-3.16906,10.2157,10.2272,10.2343,234.917,382.65,451.593,2018.65,-1.04592,8.86904,0.120226
UNCOVER_2c_smc_r300_warm_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_smc_r300_warm_ujy,Section 2.3,4045.25,4051.19,4056.39,-3.44223,-3.33201,-3.20923,10.1644,10.1687,10.1729,280.003,371.782,479.238,3579.55,0.215911,5.87313,0.0662475
UNCOVER_2c_smc_r300_warm_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_smc_r300_warm_ujy_photcal,Section 2.3,3968.9,3991.18,4002.68,-3.40028,-3.25818,-3.1638,10.2553,10.263,10.2706,236.986,294.318,406.947,2927.91,-0.144524,7.1993,0.069581
UNCOVER_2c_smc_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_smc_ujy,Section 2.3,4076.5,4081.61,4087.08,-3.45035,-3.33935,-3.20282,10.1377,10.141,10.1445,284.388,389.956,503.558,2005.27,-0.350137,8.89928,0.0233418
UNCOVER_2c_smc_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_2c_smc_ujy_photcal,Section 2.3,3967.33,3995.27,4003.49,-3.36975,-3.23331,-3.16602,10.2331,10.2422,10.2493,236.142,278.619,385.815,2923.41,-1.68365,6.90058,1.5921
UNCOVER_m3b_r300_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_m3b_r300_ujy,Section 2.3,4063.89,4069.47,4074.96,-3.2752,-3.20508,-3.16447,10.1528,10.1567,10.1619,257.389,282.537,332.561,,,,
UNCOVER_m3b_r300_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_m3b_r300_ujy_photcal,Section 2.3,4066.52,4071.11,4075.76,-3.24516,-3.1903,-3.15757,10.1538,10.1572,10.1608,254.142,273.587,309.895,,,,
UNCOVER_m3b_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_m3b_ujy,Section 2.3,4065.59,4071.63,4077.11,-3.26067,-3.20119,-3.16082,10.1522,10.1563,10.1609,255.946,280.827,322.16,,,,
UNCOVER_m3b_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_m3b_ujy_photcal,Section 2.3,4066.01,4071.01,4076.49,-3.32265,-3.21525,-3.16865,10.1541,10.158,10.1621,261.016,289.964,370.673,,,,
WIDE_1c_arch_ujy,experiments/dust_law_and_configuration_sweep,WIDE_1c_arch_ujy,Section 2.3,4084.62,4099.11,4113.78,-3.339,-3.21908,-3.13406,9.71642,9.72856,9.73883,247.703,300.164,394.822,,,,
WIDE_1c_cool2600_cz_av3_ujy,experiments/dust_law_and_configuration_sweep,WIDE_1c_cool2600_cz_av3_ujy,Section 2.3,2035.12,2087.28,2174.44,-0.506993,-0.0795161,0.0940855,8.901,8.96032,9.01444,0.0104899,0.0153374,0.0389835,,,,
WIDE_1c_cool2600_cz_neb_ujy,experiments/dust_law_and_configuration_sweep,WIDE_1c_cool2600_cz_neb_ujy,Section 2.3,2004.73,2017.94,2040.8,-0.590762,-0.378049,-0.0985339,8.88518,8.92323,8.9674,0.0136311,0.0255424,0.0417282,,,,
WIDE_1c_cool2600_cz_r300_av3_ujy,experiments/dust_law_and_configuration_sweep,WIDE_1c_cool2600_cz_r300_av3_ujy,Section 2.3,2009.94,2030.49,2084.88,-1.53084,-1.25166,-0.639582,8.91607,8.95721,8.99897,0.0528546,0.194366,0.363559,,,,
WIDE_1c_cool2600_cz_r300_neb_ujy,experiments/dust_law_and_configuration_sweep,WIDE_1c_cool2600_cz_r300_neb_ujy,Section 2.3,2003.08,2011.02,2029.36,-0.454629,-0.17377,0.152835,8.8073,8.86842,8.91903,0.00752797,0.0159257,0.0302205,,,,
WIDE_1c_cool2600_cz_r300_ujy,experiments/dust_law_and_configuration_sweep,WIDE_1c_cool2600_cz_r300_ujy,Section 2.3,2093.24,2171.34,2197.73,-0.314049,-0.149483,-0.0124578,9.00372,9.06689,9.10172,0.0143818,0.0195203,0.0287494,,,,
WIDE_1c_cool2600_cz_ujy,experiments/dust_law_and_configuration_sweep,WIDE_1c_cool2600_cz_ujy,Section 2.3,2066.22,2092.59,2118.19,0.0761142,0.260906,0.413024,8.96425,8.99396,9.02384,0.00491153,0.00677772,0.0100244,,,,
